Step,AgentID,cars_charging,full
0,0_Charge,0,False
0,1_Charge,0,False
0,2_Charge,0,False
0,3_Charge,0,False
0,4_Charge,0,False
0,5_Charge,0,False
0,6_Charge,0,False
0,7_Charge,0,False
0,8_Charge,0,False
1,0_Charge,0,False
1,1_Charge,0,False
1,2_Charge,0,False
1,3_Charge,0,False
1,4_Charge,0,False
1,5_Charge,0,False
1,6_Charge,0,False
1,7_Charge,0,False
1,8_Charge,0,False
2,0_Charge,0,False
2,1_Charge,0,False
2,2_Charge,0,False
2,3_Charge,0,False
2,4_Charge,0,False
2,5_Charge,0,False
2,6_Charge,0,False
2,7_Charge,0,False
2,8_Charge,0,False
3,0_Charge,0,False
3,1_Charge,0,False
3,2_Charge,0,False
3,3_Charge,0,False
3,4_Charge,0,False
3,5_Charge,0,False
3,6_Charge,0,False
3,7_Charge,0,False
3,8_Charge,0,False
4,0_Charge,0,False
4,1_Charge,0,False
4,2_Charge,0,False
4,3_Charge,0,False
4,4_Charge,0,False
4,5_Charge,0,False
4,6_Charge,0,False
4,7_Charge,0,False
4,8_Charge,0,False
5,0_Charge,0,False
5,1_Charge,0,False
5,2_Charge,0,False
5,3_Charge,0,False
5,4_Charge,0,False
5,5_Charge,0,False
5,6_Charge,0,False
5,7_Charge,0,False
5,8_Charge,0,False
6,0_Charge,0,False
6,1_Charge,0,False
6,2_Charge,0,False
6,3_Charge,0,False
6,4_Charge,0,False
6,5_Charge,0,False
6,6_Charge,0,False
6,7_Charge,0,False
6,8_Charge,0,False
7,0_Charge,0,False
7,1_Charge,0,False
7,2_Charge,0,False
7,3_Charge,0,False
7,4_Charge,0,False
7,5_Charge,0,False
7,6_Charge,0,False
7,7_Charge,0,False
7,8_Charge,0,False
8,0_Charge,0,False
8,1_Charge,0,False
8,2_Charge,0,False
8,3_Charge,0,False
8,4_Charge,0,False
8,5_Charge,0,False
8,6_Charge,0,False
8,7_Charge,0,False
8,8_Charge,0,False
9,0_Charge,0,False
9,1_Charge,0,False
9,2_Charge,0,False
9,3_Charge,0,False
9,4_Charge,0,False
9,5_Charge,0,False
9,6_Charge,0,False
9,7_Charge,0,False
9,8_Charge,0,False
10,0_Charge,0,False
10,1_Charge,0,False
10,2_Charge,0,False
10,3_Charge,0,False
10,4_Charge,0,False
10,5_Charge,0,False
10,6_Charge,0,False
10,7_Charge,0,False
10,8_Charge,0,False
11,0_Charge,0,False
11,1_Charge,0,False
11,2_Charge,0,False
11,3_Charge,0,False
11,4_Charge,0,False
11,5_Charge,0,False
11,6_Charge,0,False
11,7_Charge,0,False
11,8_Charge,0,False
12,0_Charge,0,False
12,1_Charge,0,False
12,2_Charge,0,False
12,3_Charge,0,False
12,4_Charge,0,False
12,5_Charge,0,False
12,6_Charge,0,False
12,7_Charge,0,False
12,8_Charge,0,False
13,0_Charge,0,False
13,1_Charge,0,False
13,2_Charge,0,False
13,3_Charge,0,False
13,4_Charge,0,False
13,5_Charge,0,False
13,6_Charge,0,False
13,7_Charge,0,False
13,8_Charge,0,False
14,0_Charge,0,False
14,1_Charge,0,False
14,2_Charge,0,False
14,3_Charge,0,False
14,4_Charge,0,False
