,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,23085.706811101005,22798.056719669003,22564.143110230005,22389.739431401995,22269.853594402994,22193.646871825003,27672.178059821003,33158.15331052199,38695.562122222,44245.243059821,44292.06687182503,42989.43484440303,41730.481931402006,40526.046860229995,39381.121719669,42984.78481110102,46622.07745081099,50258.528383698,53850.21991069201,57353.221207199014,49135.87117166999,40785.15620719899,32313.135410691997,23752.424383698006
1,23212.49911615654,22922.53780499654,22686.743243551547,22510.935108411544,22390.081339166543,22313.25642277655,27821.13246723193,33336.512178962315,38903.737279937704,44483.332769658104,44530.52349267809,43221.08171719924,41955.66879457539,40745.21023784653,39594.7381074227,43218.539479067935,46876.23967060314,50533.09141577338,54144.82536672862,57667.15894499884,49405.77518439077,41009.958642572696,32491.864973574626,23884.370931891543
2,23338.25277371617,23046.498274836158,22809.244354076163,22632.346554556174,22510.74180339617,22433.437253876164,27970.92593873521,33515.96453579426,39113.16804401327,44722.81817939233,44770.29357475234,43453.857104217575,42181.72083532281,40964.877614788034,39808.390515493295,43451.92346250471,47129.56414703613,50806.351156247576,54437.742311339,57979.18212135042,49673.36664466185,41232.289880693264,32668.18239848472,24014.12357119617
3,23463.56146158939,23170.0801893494,22931.420959619383,22753.473853659387,22631.145934729382,22553.379516269382,28120.437220369236,33695.08936881907,39322.21411619896,44961.85890550878,45009.60842978879,43686.173041153845,42407.29915298887,41184.04445185391,40021.50187448894,43684.66748375685,47382.14201048477,51078.757826602676,54729.71002721055,58290.18031672848,49939.9990281287,41453.75863158894,32843.76183652916,24143.28313037939
4,23578.645001193607,23283.622915801607,23043.7097180676,22864.826307899613,22741.85310080562,22663.67455313762,28257.934328935517,33859.8282854634,39514.46939308532,45181.69605120122,45229.69018282522,43899.80525363775,42614.71498387626,41385.53491718877,40217.384638067306,43898.55906791246,47614.2219296256,51329.02158770072,54997.91870471788,58575.860482513024,50184.86512610614,41657.09876024731,33004.92846577246,24261.80283207561
5,23700.54887748997,23403.826584481958,23162.52969791597,22982.613124483963,22858.927875277972,22780.294564345968,28403.29920499396,34033.981873411954,39717.71464703593,45414.10525646592,45462.36929964193,44125.68543961793,42834.05351786794,41598.65292034394,40424.63263595393,44124.91613925634,47859.88615929074,51593.988017863114,55281.923693393524,58878.38162624589,50444.25687848394,41872.57557477392,33175.77582647995,24387.498335507968
6,23822.235929441496,23523.786863073514,23281.08466753751,23100.118787665502,22975.710370689496,22896.61519081751,28548.28344172587,34207.674252554236,39920.42285635863,45645.90271073901,45694.440882835,44350.98445695589,43052.84126818084,41811.255542301704,40631.406132086624,44350.77905225726,48105.03966909987,51858.427089190496,55565.38056484913,59180.32573181973,50703.19328561718,42087.706462806615,33346.375515132066,24513.036258769505
7,23941.779012028735,23641.749283892736,23397.760690145737,23215.83429130173,23090.76389767473,23011.24593008074,28691.19056567766,34378.89852523956,40120.2459304285,45874.39178894446,45923.18089443646,44573.01542675821,43268.402385113,42020.64534868476,40834.950507159505,44573.02047994889,48346.16230643224,52118.426326936606,55844.01129835193,59477.10228911632,50957.544022165894,42298.90106584951,33513.74970810513,24636.104369709745
8,24058.7354329486,23757.0586286846,23511.7295863816,23328.802310625597,23203.042126202596,23123.083606696604,28830.590340306502,34545.90287470141,40315.14834151931,46097.2622880602,46146.31287036819,44789.63206089473,43478.75291633826,42225.040863114766,41033.73057643828,44790.14177025304,48581.816712473774,52372.60904582353,56116.46692691224,59767.324749002,51206.41161889217,42505.652801248296,33677.693394832444,24756.733929417613
9,24180.26749129635,23876.970176648345,23630.32230592735,23446.410296435344,23319.971446874337,23239.579481132347,28975.819270615666,34719.90665259401,40518.21572013333,46329.46216433368,46378.77000608969,45015.275064021844,43697.82700577301,42437.85210745516,41240.61307036634,45016.03896375796,48826.91740519155,52636.90851232816,56399.71388343775,60069.02127975436,51464.997038664325,42720.37838603633,33847.87812160435,24881.879882379333
10,24316.012715341418,24010.855798613426,23762.694518232416,23577.65248642043,23450.434840799422,23369.545477737418,29137.828177987023,34914.00642843163,40744.7377204972,46588.485451283836,46638.088508799854,45267.00643242043,43942.25263860004,42675.32323097066,41471.513071910216,45268.2014432976,49100.55901804698,52932.02383587934,56716.01455926467,60405.935929077044,51753.834093937665,42960.278655780225,34038.06010397883,25021.77219860443
11,24448.88427817339,24141.854476493387,23892.168976383393,23705.988850663398,23577.98684615341,23496.59653293341,29296.19020439426,35103.72772630508,40966.15201272593,46841.6723646568,46891.57274661681,45513.089546481584,44181.218037636376,42907.524650001156,41697.33663675594,45514.86287048845,49368.276510440955,53220.79193212349,57025.54284123598,60735.64893671849,52036.5673223772,43195.16677645595,34224.316032894676,25158.8204757034
12,24577.383125722823,24268.573419194814,24017.439369838812,23830.17765132683,23701.43022773083,23619.56383421882,29449.469967832527,35287.36585426623,41180.465660295944,47086.737205521655,47136.92015113766,45751.26427484222,44412.489428630775,43132.22887733534,41915.84065688395,45753.50381094978,49627.261741327595,53500.11626321341,57324.93027232724,61054.55257669303,52309.989608132506,43422.285339003945,34404.382863331375,25291.288682910832
13,24703.955862302926,24393.432665286928,24140.904117029917,23952.601163665917,23823.136135128934,23740.811425514927,29600.616114797896,35468.454746495874,41391.80261873087,47328.39508020285,47378.85004605485,45986.10984188512,44640.50995663835,43353.74799621862,42131.21163069188,45988.69062078885,49882.46401959983,53775.32901336183,57619.88779266484,61368.72838248682,52579.30539185733,43645.94941708186,34581.675137638376,25421.682668713922
14,24815.948141476772,24503.830999820766,24250.005243283773,24060.733699359764,23930.60113134276,23847.85008116876,29734.0299300352,35628.28482791664,41578.332985815076,47541.693500430534,47592.401508362535,46193.4305943369,44841.8411981543,43549.390777878674,42321.49457021608,46196.54442595115,50108.07439496022,54018.6913109603,57880.754848141325,61646.6104426014,52817.61337439675,43843.94687220608,34738.69220662742,25537.22959832777
