Step,AgentID,EV_sat,Pop,EVs,total_daily_use,pop_daily_use,ev_daily_use
1,21,0.011004418690564009,8984.023224537887,99,7308.447951455655,7209.678637691654,98.769313764
1,22,0.03002186008110229,56199.72035314884,1687,46783.34459673395,45100.27558340195,1683.0690133319997
1,23,0.020005890105148624,33706.615148847945,674,27721.98812641448,27049.558656950478,672.429469464
1,24,0.0030016154886673917,13631.33578136075,41,10980.051427818004,10939.146964542002,40.904463276
1,25,0.028015626665204494,21798.315750836835,611,18102.724659842563,17493.14839004656,609.576269796
1,26,0.017006434555389423,45988.59392918755,782,37686.02443992501,36905.84662817301,780.177811752
1,27,0.012009569567788094,21997.339399036955,264,17916.249704431157,17652.864867727156,263.384836704
1,28,0.009004640056684943,31690.94947183813,285,25716.322854410097,25431.9869511501,284.33590326
1,29,0.017003801892149825,20537.039542409737,349,16829.161005547816,16480.974232783814,348.18677276399995
1,30,0.017007824846509437,19695.85216857713,335,16140.140760343147,15805.921365283148,334.21939506
1,31,0.017004746162824557,23859.865644751182,406,19552.59613332883,19147.542179912827,405.053953416
1,32,0.02501372027645117,41928.48422037549,1049,34694.16424481533,33647.608586851326,1046.5556579640001
1,33,0.020009066348883168,33943.02927105153,679,27916.698808662848,27239.28099001885,677.417818644
1,34,0.020005878044718612,21160.69196890586,423,17403.469645674955,16981.45530504695,422.014340628
1,35,0.03101370640838917,43274.055584563845,1342,36066.30252652449,34727.42960661249,1338.8729199119998
1,36,0.023001729702729106,24512.691582189866,564,20234.12078221137,19671.434994707368,562.685787504
1,37,0.022010634935962257,8166.619442114821,180,6733.292672777145,6553.712102297145,179.58057048
1,38,0.025005681843138523,12674.709303932988,317,10487.715554418224,10171.454216406224,316.26133801199995
1,39,0.022004467559348487,15981.948941863888,352,13176.69380811777,12825.51402584577,351.179782272
1,40,0.023016804629170794,37047.96796027379,853,30582.006658227718,29730.994288119717,851.012370108
1,41,0.013011144448409293,11940.742152452724,155,9737.084401923312,9582.445577343311,154.63882458
1,42,0.028005691042843225,7171.2440451224675,201,5955.454983246781,5754.923346210781,200.531637036
1,43,0.0,1.006619052365873,0,0.807811789523613,0.807811789523613,0.0
1,44,0.016011060376701487,11687.895609942412,187,9566.100486310786,9379.536226978786,186.564259332
1,45,0.021008569717408714,6037.660963560995,127,4971.926992429699,4845.222923257698,126.704069172
1,46,0.03502326899880351,6868.687820303095,241,5752.560406269234,5512.121975793233,240.43843047599998
1,47,0.0,1229.921447716195,0,987.0119617922466,987.0119617922466,0.0
1,48,0.006003457981550522,6741.051260752886,40,5449.600430194191,5409.693636754192,39.90679344
1,49,0.01301003626518209,15983.52747823403,208,13034.29612717081,12826.780801282808,207.515325888
1,50,0.024011953894557667,9388.45870024135,225,7758.713820043684,7534.238106943683,224.47571309999998
1,51,0.011001231799627099,30880.338832267225,340,25120.67965713445,24781.471912894453,339.20774424
1,52,0.013005593313487393,19205.536593170316,250,15661.86057501918,15412.44311601918,249.41745899999998
1,53,0.0,159.44485055807502,0,127.95449257285522,127.95449257285522,0.0
1,54,0.02801080500744526,7341.740771323815,206,6097.266955203361,5891.746968987363,205.519986216
1,55,0.029024742437866485,2060.9239632895806,60,1713.7516706998886,1653.8914805398886,59.860190159999995
1,56,0.0,4116.246890789183,0,3303.28812985832,3303.28812985832,0.0
1,57,0.0,3247.031734026398,0,2605.742966556185,2605.742966556185,0.0
1,58,0.0,4728.7018348736865,0,3794.7832224861336,3794.7832224861336,0.0
1,59,0.0,66.44656110179524,0,53.323365284190686,53.323365284190686,0.0
1,60,0.012012519656129149,13096.159297378426,157,10666.30200039819,10509.667836146189,156.634164252
2,0,0.013003295240025567,12745.328683225469,166,10393.73946106444,10228.12626828844,165.613192776
2,1,0.03605243239333737,21180.998642376966,764,17759.97116521152,16997.751410507517,762.2197547039999
2,2,0.012008007070214516,18495.21859670283,222,15063.895627446025,14842.412923854024,221.482703592
2,3,0.020020797650294273,32726.19518990594,655,26916.24538247952,26262.771639899518,653.47374258
2,4,0.022026121575712168,16064.09218117883,354,13244.609097340011,12891.433975396014,353.175121944
2,5,0.007004733975445259,15779.741688747858,111,12773.984057016158,12663.242705220156,110.741351796
2,6,0.010011974929383131,11881.189361756184,119,9653.377173293338,9534.654462809338,118.72271048399999
2,7,0.020022758715534897,20245.84878876098,405,16651.349936560688,16247.293652980687,404.05628357999996
2,8,0.007007894476849519,15632.280037661012,110,12654.648412182964,12544.904730222965,109.74368196
2,9,0.01501573806678153,19091.333524438014,287,15607.126396293508,15320.795153361509,286.33124293199995
2,10,0.014016243149024178,14573.076365923436,204,11898.418430197558,11694.893783653559,203.524646544
2,11,0.032027689609392375,23645.00174318235,757,19730.349964755835,18975.113898903837,755.236065852
2,12,0.03202003038892082,32239.215363360814,1032,26901.565599849055,25871.970329097054,1029.595270752
2,13,0.037025011799335684,12503.09671321645,463,10495.656246424202,10033.735112356202,461.921134068
2,14,0.01201372992335624,20598.93521743977,247,16777.069961487417,16530.64551199542,246.42444949199998
2,15,0.019007668303640025,18121.73358449618,344,14885.889625142187,14542.691201558187,343.19842358399995
2,16,0.009008627409924507,18199.46381568178,164,14768.68756518863,14605.069712084629,163.617853104
2,17,0.03201501520829695,14863.357045024852,476,12402.734870568445,11927.844028632444,474.89084193599996
2,18,0.00800943009605491,14179.867671249234,114,11493.078167481512,11379.343806177512,113.734361304
2,19,0.029059068933455334,27324.782613395055,794,22720.28789703353,21928.138047249533,792.1498497839999
2,20,0.014009815957506885,33690.722568272526,472,27507.705023630704,27036.804861038705,470.90016259199996
2,21,0.011010069528791104,9036.917433792993,99,7350.895554382877,7252.126240618877,98.769313764
2,22,0.030048324087616075,56815.24625234762,1707,47297.25752756097,45594.23511750897,1703.0224100520002
2,23,0.020012552918291987,33988.45633506612,680,27954.151697370566,27275.73620889056,678.41548848
2,24,0.0030023750324924985,13730.04595981555,41,11059.266346027978,11018.36188275198,40.904463276
2,25,0.02803164994254332,21898.729208226323,614,18186.29946890562,17573.730189601625,612.569279304
2,26,0.01700968159125311,46457.39623500395,790,38070.21964903067,37282.060478590676,788.15917044
2,27,0.012012518067675828,22110.262898288973,266,18008.8661522529,17743.4859758769,265.380176376
2,28,0.009006781098179822,31780.9190541862,286,25789.521114080424,25504.18754098443,285.33357309600007
2,29,0.017011417048930395,20708.11808546355,352,16969.4445458565,16618.2647635845,351.179782272
2,30,0.01701861870874204,19833.771263169103,338,16253.813843261205,15916.601438693206,337.212404568
2,31,0.017020732975631468,24073.444773243227,410,19727.98406328769,19318.939430527695,409.04463276
2,32,0.025034453111596515,42035.69911655957,1052,34783.19720851106,33733.64854103905,1049.548667472
2,33,0.02001872863311769,34110.07671998924,683,28054.745065779374,27373.336567791368,681.408497988
2,34,0.02001127581021333,21187.277085916263,424,17425.8018719118,17002.789861447804,423.012010464
2,35,0.031046352846015736,43599.98073881236,1354,36339.82950084092,34988.98454289692,1350.844957944
2,36,0.023011909417715203,24713.278556156212,569,20400.080177999364,19832.406041315364,567.674136684
2,37,0.02202394319784935,8223.884613107795,181,6780.245642335007,6599.667402019007,180.578240316
2,38,0.02502436061505376,12692.538497963,318,10503.021152463309,10185.762144615308,317.259007848
2,39,0.02201153607072647,16050.436685921515,353,13232.652892560018,12880.475440452017,352.17745210800007
2,40,0.02302180345690425,37140.001867410276,855,30657.85920837675,29804.851498596752,853.00770978
2,41,0.01301807638576076,12028.115074728306,157,9809.196511721466,9652.562347469468,156.634164252
2,42,0.028019030216888934,7224.052294833259,202,5998.831273475691,5797.301966603691,201.529306872
2,43,0.0,1.0132062173665086,0,0.8130979894366233,0.8130979894366233,0.0
2,44,0.016011949010903373,11730.404827032122,188,9601.21180286128,9413.649873693279,187.56192916799998
2,45,0.02101343127394745,6056.854166939039,127,4987.329538140579,4860.625468968579,126.704069172
2,46,0.035055111320365505,6906.833762604241,242,5784.1701948019045,5542.734094489904,241.436100312
2,47,0.0,1236.704919909241,0,992.455698227166,992.455698227166,0.0
2,48,0.006006665995736882,6792.555362071182,41,5491.930141338124,5451.025678062124,40.904463276
2,49,0.013019769080325832,16047.375486936367,209,13086.531823990437,12878.018828266437,208.512995724
2,50,0.02403102736165078,9404.714798513805,226,7772.757008743329,7547.28362580733,225.473382936
2,51,0.011001888183219123,30952.501998956115,341,25179.588268238283,24839.382854162286,340.205414076
2,52,0.013010893378127514,19250.34725397102,250,15697.821130311744,15448.403671311744,249.41745899999998
2,53,0.0,160.17177550643203,0,128.53784984391172,128.53784984391172,0.0
2,54,0.028032378438112442,7369.707018830532,207,6120.707538663502,5914.189882611502,206.517656052
2,55,0.0290416781293691,2067.7803444960464,60,1719.2539166180773,1659.3937264580773,59.860190159999995
2,56,0.0,4139.058689722542,0,3321.5945985023404,3321.5945985023404,0.0
2,57,0.0,3265.067625954915,0,2620.2167698288195,2620.2167698288195,0.0
2,58,0.0,4755.567492637679,0,3816.342912841737,3816.342912841737,0.0
2,59,0.0,66.61827590607075,0,53.46116641462178,53.46116641462178,0.0
2,60,0.01201828505212862,13169.410891605346,158,10726.084074601291,10568.452240513292,157.63183408800003
3,0,0.01300718837067415,12764.890142155824,166,10409.43753185605,10243.82433908005,165.613192776
3,1,0.03607158388181689,21239.24072537778,766,17808.705776491668,17044.49068211567,764.215094376
3,2,0.012015514503312638,18598.65792560484,223,15147.903358725884,14925.422985297886,222.48037342799998
3,3,0.020028793383661442,33024.79130818601,661,27161.85478641528,26502.395024819278,659.459761596
3,4,0.022043404038696632,16091.739048061034,355,13267.79337784898,12913.62058606898,354.17279178
3,5,0.00700703653136805,15850.621267549926,111,12830.864919004816,12720.123567208817,110.741351796
3,6,0.010018934553941055,11912.81710897674,119,9678.758440437834,9560.035729953834,118.72271048399999
3,7,0.020034164208610206,20358.927838283147,408,16745.088883310225,16338.039590222226,407.049293088
3,8,0.007009154643569398,15702.650466885834,110,12711.120681635884,12601.376999675882,109.74368196
3,9,0.015016872295121945,19230.813660228116,289,15721.054544937064,15432.727962333065,288.326582604
3,10,0.014022828132499218,14682.81013212331,206,11988.475117244956,11782.955131028957,205.519986216
3,11,0.032050038601931126,23894.244980801384,766,19939.346691469116,19175.13159709311,764.215094376
3,12,0.03204617241583267,32469.819693617883,1041,27095.60460340435,26057.03030412835,1038.5742992760001
3,13,0.03704439487465776,12573.055896879812,466,10554.79150082205,10089.877357246052,464.91414357599996
3,14,0.012019556096288849,20769.52918904496,250,16916.964633208583,16667.547174208583,249.41745899999998
3,15,0.019019452414584335,18187.2465865509,346,14940.4591489631,14595.265385707098,345.193763256
3,16,0.009017429906020764,18367.405239882493,166,14905.4558977817,14739.842705005702,165.613192776
3,17,0.03204997681981262,14902.416224118073,478,12436.075201462754,11959.189019854753,476.88618160799996
3,18,0.00801081130785897,14257.308151848645,114,11555.22415316254,11441.489791858538,113.734361304
3,19,0.029062641934964543,27501.341932114592,799,22866.965099485966,22069.82690052196,797.138198964
3,20,0.014022185310098014,33966.83608233176,476,27733.27679800724,27258.385956071244,474.89084193599996
3,21,0.011021098177642082,9070.770470090809,100,7379.060285847875,7279.293302247875,99.7669836
3,22,0.03007267391996689,56875.538578141546,1710,47348.6351285186,45642.6197089586,1706.01541956
3,23,0.0200214256122795,34098.78204314978,683,28045.6810876157,27364.2725896277,681.408497988
3,24,0.003003346838144267,13788.638543853487,41,11106.286894718425,11065.382431442424,40.904463276
3,25,0.028031326462698247,22064.914768962462,619,18324.651730576374,17707.094102092375,617.557628484
3,26,0.017018126564028943,46789.38148527993,796,38342.62383139315,37548.47864193715,794.145189456
3,27,0.012017180199357567,22221.422228991258,267,18099.069184977485,17832.691338765486,266.377846212
3,28,0.009011626557512148,32061.5810965605,289,26017.745412593806,25729.418829989805,288.326582604
3,29,0.01702472845798066,20822.246784479015,354,17063.02816648841,16709.853044544412,353.175121944
3,30,0.017026533924964803,19899.222203984456,339,16307.335893101526,15969.125818697526,338.210074404
3,31,0.017026993854882516,24063.02055518378,410,19719.618628294986,19310.573995534985,409.04463276
3,32,0.025045437068567572,42271.757542718326,1059,34979.61778435546,33923.08542803146,1056.532356324
3,33,0.020023996855640158,34243.71582744333,686,28164.983459019277,27480.581951523276,684.401507496
3,34,0.020022818544339925,21308.954420702474,427,17526.440942585734,17100.43592261374,426.005019972
3,35,0.031051951979999035,43897.649940307616,1363,36587.68806356486,35227.86407709686,1359.8239864679997
3,36,0.02302898067111567,24757.20455804771,570,20436.32846435329,19867.656657833286,568.67180652
3,37,0.022038609599322998,8251.533442084228,182,6803.4314974245935,6621.855587272595,181.575910152
3,38,0.025035178030821188,12717.948627385764,318,10523.412781325076,10206.153773477077,317.259007848
3,39,0.02201421990800807,16161.833893667415,356,13325.042161284102,12969.871699668103,355.170461616
3,40,0.023031886928764275,37387.24065238196,861,30862.254352332522,30003.260623536524,858.9937287960001
3,41,0.01302392779095335,12104.028155884225,158,9871.114429185092,9713.482595097092,157.63183408800003
3,42,0.028030613470676993,7274.551148362431,204,6041.351943104852,5837.827296560851,203.524646544
3,43,0.0,1.0199855114891727,0,0.8185383729700613,0.8185383729700613,0.0
3,44,0.016013003576704918,11773.746800930576,189,9636.991406750787,9448.431807746789,188.55959900399998
3,45,0.021010770662075014,6088.133247048531,128,5013.428669764446,4885.7269307564475,127.701739008
3,46,0.03506943045958319,6946.518852072517,244,5818.012818772195,5574.581378788194,243.43143998399998
3,47,0.0,1246.5215731989251,0,1000.3335624921375,1000.3335624921375,0.0
3,48,0.006008536854943991,6815.877421990175,41,5510.646094423116,5469.741631147116,40.904463276
3,49,0.013028513369941815,16151.06151602762,210,13170.737532172165,12961.226866612165,209.51066556
3,50,0.024051070768921178,9447.49455017001,227,7808.085429283434,7581.614376511433,226.47105277199998
3,51,0.011002787138748762,31058.481774026746,342,25265.634707568468,24924.431623656466,341.203083912
3,52,0.01302686754859743,19387.980802557013,253,15811.265062560004,15558.854594052003,252.410468508
3,53,0.0,160.70492347179632,0,128.96570108611655,128.96570108611655,0.0
3,54,0.028046231883845866,7407.388067127215,208,6151.944249757591,5944.428923869591,207.515325888
3,55,0.029050905201798073,2084.602211074297,61,1733.7511343831234,1672.8932743871235,60.857859995999995
3,56,0.0,4156.364636927596,0,3335.4826211343957,3335.4826211343957,0.0
3,57,0.0,3267.522607804627,0,2622.1868927632136,2622.1868927632136,0.0
3,58,0.0,4761.464825376883,0,3821.0755223649485,3821.0755223649485,0.0
3,59,0.0,67.11262629640932,0,53.85788260286848,53.85788260286848,0.0
3,60,0.01202326347004734,13260.348686071478,159,10800.05932449636,10641.429820572363,158.629503924
4,0,0.013014135744407141,12863.679266195859,167,10489.713473734177,10323.102611122178,166.610862612
4,1,0.03608779586781737,21408.44787340364,773,17951.478201634418,17180.27941840642,771.1987832279999
4,2,0.012020191285037268,18633.231272118395,224,15176.646139139011,14953.168095875015,223.478043264
4,3,0.020036351505806096,33140.889337501605,664,27258.016464449043,26595.56369334504,662.452771104
4,4,0.022046443548859727,16188.628782639213,357,13347.54272951997,12991.37459806797,356.168131452
4,5,0.007009207588391595,15934.799775007754,112,12899.415841075723,12787.676819443723,111.739021632
4,6,0.010025284797956823,11959.254595611566,120,9717.022193298282,9597.301812978281,119.72038031999999
4,7,0.020043695031897256,20388.663750822067,409,16769.94962295871,16361.902660034708,408.04696292399996
4,8,0.007012722960685646,15717.938918520376,110,12723.389664072603,12613.645982112603,109.74368196
4,9,0.01502475558588208,19309.709625769105,290,15785.366227119708,15496.041974679707,289.32425244
4,10,0.014029222305246504,14758.338712793167,207,12050.084473068517,11843.566817016517,206.517656052
4,11,0.032057157249462155,23929.04663589954,767,19968.272689521382,19203.059925309382,765.212764212
4,12,0.03206149301834613,32717.46894687653,1049,27302.324487832415,26255.76882986842,1046.5556579640001
4,13,0.037059883744708595,12668.094495895952,469,10634.0529860405,10166.145832956501,467.907153084
4,14,0.012019571757479633,20829.426314197484,250,16965.03207614348,16715.614617143485,249.41745899999998
4,15,0.019032301691091172,18212.379752502566,347,14961.62618447531,14615.43475138331,346.191433092
4,16,0.009022764700891745,18367.420616778192,166,14905.4682377405,14739.8550449645,165.613192776
4,17,0.03206693160185581,14950.072605329591,479,12475.317117220999,11997.433265776997,477.883851444
4,18,0.008017538533468248,14328.55077067478,115,11613.39402460651,11498.661993466512,114.73203113999999
4,19,0.02907419523165782,27581.039299928572,802,22933.91524666468,22133.78403819268,800.1312084719999
4,20,0.01402190995118492,34139.49554108386,479,27874.8290231638,27396.9451717198,477.883851444
4,21,0.011026532820317318,9129.234424075597,101,7426.975278756668,7326.2106253206675,100.764653436
4,22,0.030087663137666636,57313.135961063585,1724,47713.77440601753,45993.791608753534,1719.982797264
4,23,0.020028270967811908,34174.29953157766,684,28107.281541915072,27424.87537409107,682.406167824
4,24,0.003004405024871039,13914.258672704867,42,11208.094717957658,11166.192584845658,41.902133112
4,25,0.028017372003108616,22134.840846034822,620,18381.765077262946,17763.209778942943,618.55529832
4,26,0.017024951862847682,47044.18331677171,801,38552.0906503453,37752.95711170931,799.1335386359999
4,27,0.012020588811896655,22358.04643886488,269,18210.705453073067,17942.33226718907,268.373185884
4,28,0.009018757585351332,32348.660672156242,292,26251.119781517387,25959.80018940539,291.31959211200007
4,29,0.017029565195158965,20892.7485056832,356,17121.601137426773,16766.43067581077,355.170461616
4,30,0.017032981427527585,20007.131506280228,341,16395.928447865885,16055.723033789885,340.205414076
4,31,0.017034560016250547,24170.37681430312,412,19807.76736591026,19396.727393478253,411.039972432
4,32,0.02505274359980991,42580.00445512138,1067,35234.96729024691,34170.45357523491,1064.513715012
4,33,0.02003182122426735,34468.58420002389,690,28349.431007359177,27661.038820519178,688.3921868400001
4,34,0.020031506102141064,21347.424636756856,428,17558.31096080538,17131.30827099738,427.002689808
4,35,0.031074008866029908,44056.184047590075,1369,36720.897703675044,35355.08769819104,1365.810005484
4,36,0.023042186134530594,24819.62757037527,572,20488.41827141816,19917.751125226154,570.6671461920001
4,37,0.022044653892582946,8268.451378430183,182,6817.008141342222,6635.432231190223,181.575910152
4,38,0.025052736605969596,12721.003922654289,319,10526.862325614067,10208.605647930068,318.25667768399995
4,39,0.022028824115702065,16265.51374940189,358,13410.240585183017,13053.07478389502,357.165801288
4,40,0.02305286829784098,37659.84499783089,868,31088.003028407296,30222.025610759298,865.977417648
4,41,0.013029126037578305,12171.35565459779,159,9926.142416738729,9767.512912814727,158.629503924
4,42,0.028047577002593502,7276.76190376027,204,6043.126074311617,5839.601427767618,203.524646544
4,43,0.0,1.0228906909233233,0,0.8208697794659671,0.8208697794659671,0.0
4,44,0.016018918682430137,11850.440023111374,190,9699.535387386879,9509.978118546878,189.55726883999998
4,45,0.02101897228937753,6127.48529530359,129,5046.006358325131,4917.306949481132,128.699408844
4,46,0.035082502098289836,6968.641973272926,244,5835.766623535524,5592.335183551523,243.43143998399998
4,47,0.0,1253.0868430731223,0,1005.6021915661807,1005.6021915661807,0.0
4,48,0.006011470696639968,6893.484734700893,41,5572.925962873466,5532.0214995974675,40.904463276
4,49,0.013037506697797066,16233.062860839571,212,13238.538951055756,13027.032945823757,211.506005232
4,50,0.024061414975481886,9488.688156509343,228,7842.140968206748,7614.672245598748,227.468722608
4,51,0.011008028601794147,31265.49768694729,344,25433.7603173592,25090.5618937752,343.19842358399995
4,52,0.013035382613187914,19422.990219062936,253,15839.360119306008,15586.949650798007,252.410468508
4,53,0.0,161.7608387517543,0,129.81307309828284,129.81307309828284,0.0
4,54,0.028060712914406895,7450.178600437217,209,6187.281322574866,5978.768326850867,208.512995724
4,55,0.02907266505193299,2093.4562267188603,61,1740.8564819378857,1679.9986219418859,60.857859995999995
4,56,0.0,4177.708277286177,0,3352.6108925221574,3352.6108925221574,0.0
4,57,0.0,3289.5531294339194,0,2639.8663863707206,2639.8663863707206,0.0
4,58,0.0,4796.243985927247,0,3848.985798706616,3848.985798706616,0.0
4,59,0.0,67.67877675191797,0,54.31221834341417,54.31221834341417,0.0
4,60,0.012032974976570361,13361.550869952609,161,10883.26941673297,10722.64457313697,160.624843596
5,0,0.013018848598240401,12957.360034194737,169,10566.887629725277,10398.281427441276,168.606202284
5,1,0.03609498315700849,21531.21858951926,777,18053.992380661206,17278.802918089208,775.189462572
5,2,0.012025852015754386,18730.402294863674,225,15255.6235547281,15031.1478416281,224.47571309999998
5,3,0.02004453235940613,33277.63327178113,667,27370.746481216363,26705.30070060436,665.445780612
5,4,0.022062062243058185,16277.34711787769,359,13420.734533220848,13062.571062096848,358.163471124
5,5,0.00701153985074951,16010.405491317388,112,12960.089428414203,12848.350406782207,111.739021632
5,6,0.01003249266460256,12054.552596963325,121,9794.49650921907,9673.77845906307,120.718050156
5,7,0.020052090794975653,20593.900302251994,413,16938.642634825224,16526.604992557226,412.03764226799996
5,8,0.007015293039806158,15794.31150160212,111,12785.6763318317,12674.934980035705,110.741351796
5,9,0.015032361267347017,19317.656732487074,290,15791.743780260878,15502.419527820877,289.32425244
5,10,0.01404274541814481,14872.331505776636,209,12143.559029109752,11935.046033385752,208.512995724
5,11,0.03208065053101281,24106.76585580975,773,20116.878382515326,19345.679599287327,771.1987832279999
5,12,0.032072450238760354,32898.01443343828,1055,27453.198259814224,26400.65658283422,1052.5416769800001
5,13,0.03707513217836324,12725.493166692817,472,10683.108428862986,10212.208266270987,470.90016259199996
5,14,0.012026032722517049,20918.998499882313,252,17038.90909482756,16787.49629615556,251.412798672
