,traffic_x,traffic_y,traffic_x_km,traffic_y_km,traffic_area,place_name
0,-89.19904808087703,48.45680791956865,-9929.727231411312,5378.70567907212,6582.073702414983,Thunder Bay
1,-89.258353491015,48.42288180941172,-9936.329168973281,5374.939880844701,4834.011530340901,Thunder Bay
2,-89.26551340223818,48.3946509618762,-9937.126217450557,5371.806256768258,3844.6340822091965,Thunder Bay
3,-89.18911516103095,48.47605066374678,-9928.621488841127,5380.841623675893,2667.3695873769443,Thunder Bay
4,-89.25725380468351,48.423208510611914,-9936.206750791174,5374.976144677922,2320.6089046466705,Thunder Bay
5,-89.25766813492167,48.42380045480996,-9936.252874447615,5375.041850483905,2046.589315323459,Thunder Bay
6,-89.2253368010203,48.49264804381187,-9932.65371802638,5382.683932863118,2033.4449636607926,Thunder Bay
7,-89.29463856478012,48.35444156914748,-9940.368459669888,5367.343014175371,1428.38941425708,Thunder Bay
8,-89.27050718926498,48.39364062109707,-9937.682130816167,5371.694108941775,1352.7145634360247,Thunder Bay
9,-89.27902207888297,48.38114366512769,-9938.630016843332,5370.306946829173,395.9448376462346,Thunder Bay
10,-89.18904241325443,48.45623323569394,-9928.613390485896,5378.641889162027,258.19708876644756,Thunder Bay
11,-89.24524496859648,48.37738526653145,-9934.86991514913,5369.889764584991,162.05312298241986,Thunder Bay
12,-89.24467790827055,48.37788612896986,-9934.806789426586,5369.945360315654,31.85013252865725,Thunder Bay
