,traffic_x,traffic_y,traffic_area,place_name
0,-8858657.817779103,4374291.192180268,121818.0111972523,Mississauga
1,-8864942.088438753,4386633.468650364,95592.33688318016,Mississauga
2,-8862918.004968299,4385520.367424818,70600.44911890682,Mississauga
3,-8862681.636287482,4385696.701157452,44423.492623526196,Mississauga
4,-8862351.518871058,4385044.345758266,42218.349060944456,Mississauga
5,-8863158.905278262,4385318.651859916,30921.628465789512,Mississauga
6,-8865741.161360202,4377932.577849495,28344.164306364037,Mississauga
7,-8858751.976265943,4379002.399253069,25772.592008982738,Mississauga
8,-8864132.526532488,4379436.618573643,22063.26447931928,Mississauga
9,-8873270.185397439,4382101.533598837,21351.040562867267,Mississauga
10,-8861629.890314365,4385356.944656036,20040.47476605984,Mississauga
11,-8866296.166516777,4377776.261345654,19723.574125724193,Mississauga
12,-8865409.958002383,4386848.502439111,18631.87317605152,Mississauga
13,-8866091.96441963,4377903.463486862,16311.766506210537,Mississauga
14,-8862742.149996351,4370183.900142837,16124.742827925627,Mississauga
15,-8865445.676569682,4377813.07993384,15745.812481526182,Mississauga
16,-8867312.98049251,4375779.478090188,15181.096203576133,Mississauga
17,-8863595.578477057,4385525.037169926,12178.99682562303,Mississauga
18,-8861695.899441103,4380417.259357498,11465.804616629424,Mississauga
19,-8863166.818836749,4385428.9816318825,11412.937107194208,Mississauga
20,-8865460.64440337,4386758.928688761,11088.468275123168,Mississauga
21,-8878245.12290002,4378270.013167309,10253.926424552334,Mississauga
22,-8869615.9603663,4382611.6709189415,9153.891453184411,Mississauga
23,-8863799.10472427,4378155.189032956,8964.56801417048,Mississauga
24,-8863977.639947187,4378514.876502161,8934.602445048258,Mississauga
25,-8868491.498838274,4375717.644935297,7867.905278277209,Mississauga
26,-8861977.454062797,4385038.9407895375,7320.857464874541,Mississauga
27,-8865519.48836861,4377682.599256649,6787.122623048326,Mississauga
28,-8859805.779879496,4375293.956434024,6772.010067085512,Mississauga
29,-8873478.637789749,4380320.289589053,6514.144829567478,Mississauga
30,-8862450.211896284,4385954.962406552,5603.105116617986,Mississauga
31,-8859512.434589183,4374474.274607503,5562.882590606676,Mississauga
32,-8865620.197713314,4377628.104447841,4935.691000056768,Mississauga
33,-8866313.758507399,4378077.388236692,4893.806382519523,Mississauga
34,-8866034.252848068,4377639.738642446,4666.404707250017,Mississauga
35,-8861239.895286037,4378697.956423148,4356.088847469564,Mississauga
36,-8867629.832755538,4374012.484236759,4235.650390315058,Mississauga
37,-8868306.276565077,4379316.80190065,4118.962726000904,Mississauga
38,-8860158.771728568,4380478.30598679,3807.0140437314844,Mississauga
39,-8870790.222282842,4380729.6126457425,3770.905884406745,Mississauga
40,-8866548.363933057,4372252.3655969845,3740.558887632339,Mississauga
41,-8868023.564770658,4379387.971640029,3369.124418332477,Mississauga
42,-8859714.41399811,4381142.152479304,3300.7080231908944,Mississauga
43,-8861213.783021467,4380268.687089509,2287.5952803885125,Mississauga
44,-8862994.311279736,4385390.030195294,2230.009943937772,Mississauga
45,-8860287.458194738,4380571.2341442695,2133.9832851612005,Mississauga
46,-8872964.122139093,4374707.825478049,1709.7892622964114,Mississauga
47,-8864250.724360237,4378840.608193213,1631.407682366255,Mississauga
48,-8863427.899020825,4385430.848038907,1453.5317334164365,Mississauga
49,-8868247.25160259,4379387.885156274,1451.5191354872848,Mississauga
50,-8859295.490809992,4374627.518812818,1102.5137713051618,Mississauga
51,-8868055.074220203,4378743.907460346,1065.7755045767808,Mississauga
52,-8868994.005724946,4379797.652566217,976.9579191126063,Mississauga
53,-8868710.669408455,4375724.381543126,852.5414805037433,Mississauga
54,-8862717.794036798,4386441.889418025,544.9633641712173,Mississauga
55,-8881627.932453698,4378131.214701586,530.7899398498757,Mississauga
56,-8859954.381956456,4374133.150952921,489.20502990787344,Mississauga
57,-8860014.272229426,4374381.17194246,432.30089644793526,Mississauga
58,-8868519.517407242,4375865.959606375,394.937000262998,Mississauga
59,-8858971.8450507,4374801.535466121,344.0224349250093,Mississauga
60,-8867815.577473447,4373998.9791382635,331.5256759202599,Mississauga
61,-8866900.075719632,4377164.76131077,323.2660292542788,Mississauga
62,-8870043.59424917,4372109.657230904,287.584050935977,Mississauga
63,-8873783.367735928,4373986.704803457,236.5482978541349,Mississauga
64,-8867415.02743041,4383437.206709722,228.03403628609698,Mississauga
65,-8870451.436087668,4372353.662534285,227.90203859546483,Mississauga
66,-8873153.103148773,4382125.579725758,216.46057310288944,Mississauga
67,-8860657.806842035,4376085.158403668,199.0023852438561,Mississauga
68,-8867020.138489041,4375071.632602117,104.0992651094433,Mississauga
