,x,y,x_km,y_km,Station_Name,City
0,-89.359761,48.316269,-9947.617954281,5363.105859,Best Western Plus - Nor'Wester Hotel,Thunder Bay
1,-85.275596,48.59338,-9492.964622316,5393.865180000001,Continental Motel,White River
2,-89.245492,48.409754,-9934.897414932,5373.482694,Halfway Motors Nissan,Thunder Bay
3,-89.246764,48.409106,-9935.039015244,5373.410766,Performance Kia,Thunder Bay
5,-87.097191,48.783132,-9695.746399311,5414.927652,Red Dog Inn,Terrace Bay
6,-89.257744,48.405391,-9936.261319824,5372.998401,Scotiabank,Thunder Bay
7,-89.3123,48.3811,-9942.3345483,5370.302100000001,Canadian Tire - Tesla Supercharger,Thunder Bay
8,-85.2723,48.5919,-9492.5977083,5393.700900000001,XTR Gas Station - Tesla Supercharger,White River
9,-87.0998,48.783,-9696.0368358,5414.9130000000005,Simcoe Plaza - Tesla Supercharger,Terrace Bay
10,-88.3076,49.0176,-9830.490339599999,5440.9536,The Nipigon Tourist Information Centre - Tesla Supercharger,Nipigon
11,-88.2967018592468,49.0228519868996,-9829.277147673212,5441.536570545856,Petro-Canada EV Fast Charger,Nipigon
12,-86.3736327,48.7207134,-9615.1991657967,5407.9991874,Suncor,Marathon
13,-89.28,48.42,-9938.73888,5374.62,2587265 Ontario Inc,Thunder Bay
17,-89.259847,48.408938,-9936.495427887,5373.392118,Superior Hyundai,Thunder Bay
19,-86.9519527857361,49.7209363713409,-9679.578336060928,5519.02393721884,Ontario Government Building,Geraldton
21,-87.105802,48.781999,-9696.704984442,5414.801889,MNR District Office,Terrace Bay
24,-89.256877,48.4148606,-9936.164804517,5374.0495266,DEALERSHIP80423,Thunder Bay
25,-89.2917523,48.3761799,-9940.0471577883,5369.7559689,MOI,Thunder Bay
