,poi_x,poi_y,poi_name,poi_area,place_name
72,-8870834.019641569,4373558.71815492,South Common Park,71315.22034497037,Mississauga
73,-8859204.672725843,4374017.317667045,J.C. Saddington Park,70890.09204700374,Mississauga
74,-8856096.69496878,4376249.9798266245,Lakeview Park,69673.654971535,Mississauga
75,-8860131.403781077,4380577.190680217,Glenforest Secondary School,69215.96915135965,Mississauga
76,-8872788.96976799,4380253.086923567,Courtneypark Athletic Fields,69137.73360398045,Mississauga
77,-8873738.84617296,4372310.3083662735,Loyola Catholic Secondary School,68718.0376504986,Mississauga
78,-8866404.591172902,4371945.110057029,Iona Secondary School,68196.88151859968,Mississauga
79,-8856954.453390341,4375454.509568355,R.K. McMillan Park,67760.87744099971,Mississauga
80,-8863741.322381206,4372800.760218756,Lorne Park Secondary School,67532.28504480238,Mississauga
81,-8872059.123891251,4377528.703058465,St. Joseph Secondary School,67478.86377134675,Mississauga
82,-8861816.769476673,4371005.038888344,Meadow Wood Park,67127.11251245628,Mississauga
83,-8863377.154687306,4376783.105859747,T. L. Kennedy Secondary School,66563.5115329491,Mississauga
84,-8870101.617665894,4377258.5760377385,Fallingbrook Community Park,66299.73947845603,Mississauga
85,-8866408.862035861,4387565.931618209,Morning Star Middle School,65336.31953178671,Mississauga
86,-8865779.38846547,4373171.228868606,Bruce Reynolds Park,64922.57023092982,Mississauga
87,-8862495.898124358,4375330.05088892,St. Mary's Port Credit Catholic Cemetery,64531.55203254393,Mississauga
88,-8863843.39261567,4380365.152945465,Philip Pocock Catholic Secondary School,64270.05567991061,Mississauga
89,-8873154.920469021,4380240.928952898,St. Marcellinus Secondary School,63703.39630991261,Mississauga
90,-8874372.242317885,4376615.417508872,Streetsville Secondary School,63539.28384210463,Mississauga
91,-8864693.61511147,4378568.256359163,Woodington Green Park,63229.980530063396,Mississauga
92,-8865690.318667665,4379144.56702021,Huron Heights Park,62928.21317604953,Mississauga
93,-8879532.456360672,4376551.45839064,Eden Woods Park,62569.62980014752,Mississauga
94,-8865064.98428285,4376846.872633093,Father Michael Goetz Secondary School,61979.7300600874,Mississauga
95,-8859635.75144687,4375307.818240602,Port Credit Secondary School,61906.087830840115,Mississauga
96,-8868937.746115232,4372308.946482279,Thornlodge Park,61541.07835436489,Mississauga
97,-8874068.638879342,4375143.099300589,John Fraser Secondary School,61036.46687193364,Mississauga
98,-8877322.128170557,4374610.804759378,St. Joan of Arc Catholic Secondary School,60439.21757394233,Mississauga
99,-8878870.205279782,4377568.69722576,Maplewood Park,60153.27548049594,Mississauga
100,-8866068.940927535,4370599.605100819,Clarkson Secondary School,59893.245939894696,Mississauga
101,-8872503.451431995,4380327.030520452,Mississauga Secondary School,59625.21162741741,Mississauga
102,-8866825.805023812,4379622.886490022,McKechnie Woods,59437.73060528018,Mississauga
103,-8860526.714039888,4373521.369605828,Brueckner Rhododendron Gardens,59058.82265533313,Mississauga
104,-8863534.674309948,4377572.394137817,Stonebrook Park,58288.6061786147,Mississauga
105,-8861667.105458418,4378959.63931592,Applewood Heights Secondary School,58019.793989758124,Mississauga
106,-8866506.026253095,4371746.825593641,Kogaydiwin Park,57882.71275228552,Mississauga
107,-8877138.11873368,4374911.837277672,Stephen Lewis Secondary School,57565.1205225612,Mississauga
108,-8880142.313786076,4378155.922592932,Windrush Woods,57474.3051215055,Mississauga
109,-8866138.801409239,4387157.0655026715,Victory Park,56813.513742008436,Mississauga
110,-8861862.992458802,4382972.225339969,Max Ward Park,56537.34159317061,Mississauga
111,-8857547.9803418,4377782.614871541,Dixie Outlet Mall,56486.729488074154,Mississauga
112,-8869297.37205767,4373284.217779149,Brookmede Park,56462.415713776936,Mississauga
113,-8873937.208106043,4375272.928364041,Quenippenon Meadows Community Park,55954.204430601036,Mississauga
114,-8871249.848477455,4375719.828687864,Croation Parish Park,55821.54017501539,Mississauga
115,-8876025.531020245,4374255.060286678,Mississauga Meadowvale Rotary Park,55624.41271005969,Mississauga
116,-8869342.753943931,4381432.828313968,Dunton Athletic Fields,55545.955732062794,Mississauga
117,-8880013.643434392,4376146.269288863,Trelawny Woods,54481.68246435929,Mississauga
118,-8858463.932239307,4376279.72519084,Dellwood Park,54453.862404802974,Mississauga
119,-8861094.022978893,4378070.897006267,St. John’s Dixie Cemetery,54266.30357301235,Mississauga
120,-8872620.667734612,4376771.514584075,Streetsville Cemetery,54163.56436867021,Mississauga
121,-8868146.83820394,4379323.509999523,St. Francis Xavier Secondary School,54108.46840289494,Mississauga
122,-8857918.846301753,4377151.954248307,Gordon Graydon Memorial Secondary School,54096.47869317226,Mississauga
123,-8879261.463018404,4377455.76454446,Hunters Green Park,53868.824273051534,Mississauga
124,-8866951.886698835,4372742.076963867,Sheridan Centre,53470.792849451565,Mississauga
125,-8867470.46731627,4378677.537897772,Fairwinds Park,53031.14231443431,Mississauga
126,-8861039.501144223,4378597.108083791,Briarwood Public School,52909.2961691075,Mississauga
127,-8867823.30393919,4375505.227892247,Woodland Park,52260.936961143045,Mississauga
128,-8880187.124446295,4376275.278113172,Our Lady of Mount Carmel Secondary School,52144.42234526919,Mississauga
129,-8876105.586681962,4375725.891570599,Castlegreen Meadows,51993.74093867684,Mississauga
130,-8877429.924434574,4379471.538845129,École secondaire catholique Sainte-Famille,51920.47957877841,Mississauga
131,-8873322.465625001,4374486.722690539,John C. Pallett Park,51566.83542017623,Mississauga
132,-8873479.273255603,4374993.969050372,Erin Mills Town Centre,50877.64031826916,Mississauga
133,-8877693.718596704,4376931.579417757,Plowman's Park,50864.49749651383,Mississauga
134,-8879070.440897286,4376563.821743804,Meadowvale Secondary School,50582.026001958366,Mississauga
135,-8864000.533803917,4379082.870436628,Meadow Glen Park,50235.62973105477,Mississauga
136,-8856743.3769693,4376930.666394275,Serson Park,48455.66939087579,Mississauga
137,-8879732.97234449,4377830.680102426,Glen Eden Park,47526.38145129631,Mississauga
138,-8867118.356104152,4375011.779042975,Springfield Park,46764.950763631285,Mississauga
139,-8864657.59704554,4377347.28779684,Peel District School Board Adult Education Centre South,46673.82373959374,Mississauga
140,-8871271.973689787,4373220.357919538,Woodhurst Heights,45803.289497215555,Mississauga
141,-8874496.400759587,4373647.779420754,Aquinas Park,45468.88807367408,Mississauga
142,-8860914.13065828,4373994.214802682,Palette Park,45157.92509213583,Mississauga
143,-8871464.531429794,4372332.95204027,Garthwood Park,45000.93717580411,Mississauga
144,-8865466.694604471,4388988.039035846,Northwood park,44432.773746950195,Mississauga
145,-8862437.851262921,4377878.147489809,McKenzie Park,44365.55123133183,Mississauga
146,-8872079.417393498,4371142.44425076,Ninth Line Sports Park,43935.44710992982,Mississauga
147,-8856301.910384545,4378525.77667972,Orchard Heights Park,43899.733912701995,Mississauga
148,-8870583.576434696,4372859.2384381285,King's Masting Park,43452.33719004923,Mississauga
149,-8859755.706363313,4374463.519897358,Port Credit Memorial Park,43266.43439222813,Mississauga
150,-8862719.752779651,4375596.773554362,Stillmeadow Park,42807.26768648362,Mississauga
151,-8868732.4235861,4377362.883029358,Sandford Farm Park,41198.39826168342,Mississauga
152,-8858726.905016314,4375527.4048025925,Spruce Park,40351.23836140205,Mississauga
153,-8856296.106923431,4376020.805928339,Douglas Kennedy Park,40283.12056095912,Mississauga
154,-8865402.68053464,4372264.7308102045,Hillcrest Public School,39886.28142085002,Mississauga
155,-8881743.995094238,4377295.363377766,Tobias Mason Park,39753.75364802426,Mississauga
156,-8865098.98161359,4374884.717663483,St. Martin Secondary School,39515.43703082622,Mississauga
157,-8869662.88607711,4377637.885429233,Century City Park,39356.50345706036,Mississauga
158,-8874313.602390185,4381657.450382905,Horseshoe Park,39140.988568579676,Mississauga
159,-8866162.416289125,4371070.8500529835,Hillside Park,38961.32577462388,Mississauga
160,-8873094.364957696,4374631.315325619,Crawford Green,38737.098511757715,Mississauga
161,-8861154.496639788,4376552.059775526,Camilla Road Senior Public School,38110.12467241784,Mississauga
162,-8861756.721693953,4377815.530235863,Cedarbrae Park,38084.34204655669,Mississauga
163,-8866380.662665458,4377634.009841837,Sheridan College - Hazel McCallion Campus,37938.550903963915,Mississauga
164,-8868415.885963826,4375998.213353127,Deer Run Park,37834.03346960423,Mississauga
165,-8880819.93046237,4376139.336728929,Lisgar Middle School,37686.233073926844,Mississauga
166,-8866616.432062604,4386947.713302818,Malton Village Park,37642.36586178147,Mississauga
167,-8867421.537189312,4378198.332072923,Heritage Hills Park,37249.67455695017,Mississauga
168,-8869294.552331828,4376767.673110446,Clover Meadows Park,37105.53697780076,Mississauga
169,-8866700.488888739,4377231.740000903,Zonta Meadows,37057.27391962001,Mississauga
170,-8858761.793808969,4376115.1251219595,Janet I. McDougald Public School,36971.39873615992,Mississauga
171,-8864126.396675516,4388143.863415053,Westwood Park,36603.13993618757,Mississauga
172,-8866357.599719184,4387893.4634452695,Lancaster Public School,36591.18865618024,Mississauga
173,-8868322.01837988,4378820.982689815,Fairwind Senior Public School,35837.21339687934,Mississauga
174,-8859420.60234046,4375381.696589318,Mineola Public School,35510.484298182906,Mississauga
175,-8863935.580862049,4372030.98497382,St. Christopher School,35033.71413557024,Mississauga
176,-8866966.873198314,4388205.196361624,Ascension of Our Lord Secondary School,35002.30662265558,Mississauga
177,-8864962.053848984,4388761.500644621,Darcel Avenue Senior Public School,34867.31745321514,Mississauga
178,-8878989.706557171,4375411.783533031,Osprey Woods,34681.37951190811,Mississauga
179,-8874957.645025922,4380543.140037414,Meadowvale Village Public School,34600.081122610485,Mississauga
180,-8862709.46595673,4377028.486904628,John C. Price Park,34271.264285248835,Mississauga
181,-8874993.360064585,4375645.80129023,Thomas Street Middle School,34233.54226221849,Mississauga
182,-8862324.581278946,4378909.45765335,Silverthorn Public School,34057.47922172058,Mississauga
183,-8860594.22641401,4381022.541193859,Rockwood Village Park,34053.912954664724,Mississauga
184,-8857461.5867749,4375314.997203838,Adamson Estate,33707.29782637265,Mississauga
185,-8863766.452957133,4375602.9412710965,Iroquois Flats,33606.61183658552,Mississauga
186,-8859870.785716493,4380538.032280112,Forest Glen Public School,33399.651180887195,Mississauga
187,-8860619.484167125,4375836.607944829,Queen Elizabeth Senior Public School,33391.94805327388,Mississauga
188,-8860281.017875943,4378853.190711603,Applewood Heights Park,33362.15525845449,Mississauga
189,-8871921.546199463,4373881.415303744,Pheasant Run Park,33361.39098034513,Mississauga
190,-8880534.344046718,4376423.912313061,Forest Park,33244.537018887,Mississauga
191,-8874641.742454438,4377129.778295923,Dolphin Senior Public School,32947.2340978667,Mississauga
192,-8857690.827319786,4377033.43311268,Allan A Martin Senior Public School,32745.0605883671,Mississauga
193,-8863050.281699792,4379380.116309395,Allison's Park,32660.780108540406,Mississauga
194,-8862562.604820414,4374057.484953439,Tecumseh Public School,32543.459093805428,Mississauga
195,-8873176.440218696,4377439.911281974,Hazel McCallion Senior Public School,32454.103315464436,Mississauga
