,traffic_x,traffic_y,traffic_x_km,traffic_y_km,traffic_area,place_name
0,-79.32542197554103,43.64206471368101,-8830.585299739203,4844.269183218592,294417.55333520623,Toronto
1,-79.36912599814276,43.62330282900225,-8835.450475239251,4842.18661401925,185930.2435199547,Toronto
2,-79.38227284015714,43.623879531796376,-8836.913994839133,4842.250628029397,119752.60855497004,Toronto
3,-79.48037765184822,43.61731416224443,-8847.835120581394,4841.5218720091325,102491.57728203294,Toronto
4,-79.38695868585349,43.62370841161256,-8837.435627867895,4842.231633688994,92183.26060756242,Toronto
5,-79.59631862959105,43.684548962453064,-8860.741786164706,4848.9849348322905,77189.3657196857,Toronto
6,-79.60842593808431,43.71553112347757,-8862.089583853483,4852.42395470601,64843.98810504928,Toronto
7,-79.40269221368827,43.6327307236519,-8839.187099919991,4843.233110325361,63649.12449628765,Toronto
8,-79.57470152134215,43.6929580807089,-8858.33534805733,4849.918346958688,61762.60179392812,Toronto
9,-79.41620570903792,43.632102768621984,-8840.691435735811,4843.16340731704,59121.86342406217,Toronto
10,-79.51422814308249,43.5898555153744,-8851.603391116087,4838.473962206559,54689.79155131201,Toronto
11,-79.47118645197797,43.73479726441802,-8846.81194702064,4854.562496350401,48909.099870046935,Toronto
12,-79.41129839289275,43.78321269533418,-8840.145148395213,4859.936609182094,39827.23610107049,Toronto
13,-79.42051841361221,43.782343481426636,-8841.171530321724,4859.8401264383565,39501.29047184004,Toronto
14,-79.45350070031792,43.72721802006976,-8844.84315146009,4853.721200227744,33994.781720699146,Toronto
15,-79.41676096362127,43.62716901762433,-8840.753247231283,4842.615760956301,31789.034586342517,Toronto
16,-79.27998344398937,43.71379796231521,-8825.52703696834,4852.231573816988,29304.47157556836,Toronto
17,-79.51593310301045,43.7568542066533,-8851.793188960226,4857.010816938517,22788.42767133874,Toronto
18,-79.29511209150496,43.72728669687594,-8827.211173138423,4853.72882335323,22393.02895685726,Toronto
19,-79.48025507409746,43.7514614889801,-8847.821475103603,4856.412225276791,21938.14988321141,Toronto
20,-79.49834428633389,43.775180432825465,-8849.835184298974,4859.045028043626,20260.89526773229,Toronto
21,-79.41210152423727,43.63139480215559,-8840.234553779617,4843.08482303927,20182.683878965778,Toronto
22,-79.53474718058129,43.6367552523797,-8853.88759088949,4843.679833014146,19904.821638828642,Toronto
23,-79.46054977919765,43.74773912931757,-8845.62786197006,4855.999043354251,18541.69104819271,Toronto
24,-79.30280218295782,43.822597016681016,-8828.067241809047,4864.308268851592,18069.54320190896,Toronto
25,-79.23087833268073,43.73964610022765,-8820.060606872352,4855.1007171252695,16769.576347324582,Toronto
26,-79.34899542042433,43.798220351433706,-8833.209519197057,4861.602459009141,15677.745604723574,Toronto
27,-79.51125005979141,43.713302655752116,-8851.27186790604,4852.176594788485,15388.85947376812,Toronto
28,-79.2630130479504,43.73169603805607,-8823.637875510885,4854.218260224224,15184.337146838589,Toronto
29,-79.37038167362373,43.79420830755391,-8835.590258289467,4861.157122138484,15122.264975291666,Toronto
30,-79.35272387085085,43.797375553710246,-8833.624574026988,4861.508686461837,15038.437109345332,Toronto
31,-79.45568265823499,43.727225178343815,-8845.086049197378,4853.721994796164,14925.516381828304,Toronto
32,-79.17706265624521,43.81938542851827,-8814.069791955873,4863.9517825655275,14529.262530499462,Toronto
33,-79.42236842076066,43.633885401439265,-8841.377474967498,4843.361279559758,14520.26799749066,Toronto
34,-79.18922883444172,43.787835744157945,-8815.424143078886,4860.449767601532,14424.694674397262,Toronto
35,-79.35978304410033,43.64687477726363,-8834.410408252292,4844.803100276264,14129.432952374695,Toronto
36,-79.32424187885567,43.66182498561477,-8830.453930196092,4846.46257340324,13665.516245872039,Toronto
37,-79.51178518678687,43.602532930730405,-8851.331438778301,4839.8811553110745,13271.66629042224,Toronto
