,x,y,x_km,y_km,Station_Name,City
71,-77.288534,44.0126,-8603.836893414,4885.3985999999995,The Inn at Huff Estates,Bloomfield
72,-75.502822,45.452673,-8405.049647861999,5045.246703,Orleans Kia,Ottawa
73,-79.382987,43.647695,-8836.993495827,4844.894145,ImPark - Standard Life Centre,Toronto
75,-79.343628,43.81346,-8832.612012587999,4863.29406,ImPark - Steeles Technology Campus,North York
76,-79.804098,44.019849,-8883.871993457999,4886.203239,Tottenham Mall - Vnce's Market,Tottenham
77,-79.438416,46.308712,-8843.163907536,5140.267032,True North Chevrolet Cadillac,North Bay
80,-75.912767,45.34076,-8450.685135207,5032.8243600000005,KRP Properties,Kanata
81,-79.463929,44.214634,-8846.004040209,4907.824374,Glenwoods Centre,South Keswick
85,-79.310815,43.852599,-8828.959236615001,4867.638489,YMCA,Markham
88,-79.560257,43.647906,-8856.727369496999,4844.917566,ImPark - Burnhamthorpe Square,Mississauga
89,-79.6694687,43.4757938,-8868.884925152699,4825.8131118,Oakville Assembly (QR 2000169),Oakville
90,-79.6717507417,43.4904244608,-8869.138964316786,4827.4371151488,Canada HQ1,Oakville
91,-79.6716957564,43.4903923533,-8869.132843298205,4827.433551216301,Canada HQ3 (QR 2000497),Oakville
92,-79.6716689343,43.4903758129,-8869.12985743521,4827.4317152319,Canada HQ4 (QR 2000534),Oakville
93,-79.6717252607,43.4904088935,-8869.136127746384,4827.435387178501,Canada HQ2,Oakville
94,-79.6716380889,43.4903621915,-8869.126423694437,4827.4302032565,Canada HQ 5 (QR 2000535),Oakville
95,-75.9172627,45.347675,-8451.1856010267,5033.591925000001,BROOKSTREET CHG,Ottawa
96,-79.4228144,43.7978468,-8841.427121822398,4861.5609948,SISLEY HONDA,Vaughan
108,-79.673548661377,43.617097062236,-8869.339110533148,4841.497773908196,Electrical Safety Authority,Mississauga
109,-75.641083,45.354068,-8420.441000642999,5034.3015479999995,Bank Street Mitsubishi,Gloucester
110,-76.653141,45.477492,-8533.104309261,5048.001612,Greenlots - 22019,Renfrew
111,-79.038449,43.894923,-8798.639181129,4872.336453,Greenlots - 112002,Ajax
112,-78.7427291870117,44.3416366577148,-8765.71935582733,4921.921669006343,Greenlots - 43147,Lindsay
113,-79.6092022,43.6876627,-8862.1759981062,4849.3305597,AIRWAY CENTRE,Mississauga
117,-79.6909184,43.7552947,-8871.2727272064,4856.8377117,FRANKENSOLAR,Brampton
118,-79.6126626,43.7402445,-8862.561213294599,4855.1671395,HUMBER,Toronto
119,-79.6146542,43.6533475,-8862.7829201982,4845.5215725,CHARGEPOINT 001,Mississauga
120,-75.7452455,45.3816363,-8432.0364743055,5037.3616293,QUADREAL,Ottawa
121,-76.146135,44.338465,-8476.663894335,4921.569615,Holiday Inn Express,Gananoque
122,-79.3811825,43.6724537,-8836.7926170825,4847.6423607,MANULIFE,Toronto
125,-79.8005525,43.3224429,-8883.477304852498,4808.7911619,GARAGE,Burlington
126,-79.3374600147922,43.857088058904,-8831.925386306682,4868.136774538344,Markham - Civic Centre,Markham
127,-75.9176067,45.3500251,-8451.2238954507,5033.8527861,KRP PROPERTIES,Ottawa
130,-75.692288,45.424815,-8426.141192448,5042.1544650000005,The Westin Ottawa - Tesla Destination,Ottawa
135,-75.712848,45.342883,-8428.429952208,5033.060013,Centurion Conference & Event Center - Tesla Destination,Ottawa
136,-76.295275,44.707342,-8493.266308275,4962.514961999999,Upper Narrows Retreat Newboro,Newboro
137,-77.657915,44.296193,-8644.956755715,4916.877423,Waupoos Estate Winery and Gazebo Restaurant,Picton
138,-79.1675560859833,43.1559275628933,-8813.011511047747,4790.307959481156,White Oaks Conference Resort,Niagara-On-The-Lake
139,-79.457082,43.997578,-8845.241825322,4883.731158,Windfall Ecology Centre,Aurora
140,-79.869252,43.259265,-8891.125001892,4801.778415,York Parkade,Hamilton
141,-75.639792,45.401793,-8420.297285232,5039.599023,Ecole Secondaire Catholique Franco-Cite,Ottawa
142,-75.693083,45.428571,-8426.229692643,5042.571381,Clarence St Parking Garage,Ottawa
143,-75.917593,45.347932,-8451.222370353,5033.620452,Brookstreet Hotel - Tesla Destination,Ottawa
144,-79.400941,43.153325,-8838.992153061,4790.019075,Kacaba Vineyards & Winery,Lincoln
