,poi_x,poi_y,poi_x_km,poi_y_km,poi_name,poi_area,place_name
0,-79.54979973320033,43.73649148766449,-8855.563256099595,4854.750555130758,Humber River Park,2131976.556785954,Toronto
1,-79.36249706453593,43.72359650583363,-8834.712535721204,4853.319212147533,Sunnybrook Park,2010267.3903033487,Toronto
2,-79.50385451407169,43.773907752598475,-8850.448588360974,4858.903760538431,"York University, Keele Campus",1916906.2088378957,Toronto
3,-79.32501807062617,43.7258106810575,-8830.540336640175,4853.5649855973825,,1778802.2137254612,Toronto
4,-79.18489289454797,43.819969868075056,-8814.941461913975,4864.016655356331,Toronto Zoo,1756019.182067957,Toronto
5,-79.2006965731751,43.776455365632245,-8816.700743222424,4859.186545585179,Morningside Park,1755940.8002713108,Toronto
6,-79.46336315647035,43.64607974428891,-8845.941049941435,4844.71485161607,High Park,1656560.3552875235,Toronto
7,-79.38188986888805,43.61991698481723,-8836.871362094487,4841.810785314712,Toronto Island Park,1643436.145706864,Toronto
8,-79.46173902859154,43.77797568191302,-8845.760250401838,4859.355300692345,G. Ross Lord Park,1438768.6933542653,Toronto
9,-79.15727510543051,43.77351208379513,-8811.867022011631,4858.85984130126,Highland Creek Ravine,1421865.078711516,Toronto
10,-79.59036740131238,43.652974338454335,-8860.079289481495,4845.480151568431,Centennial Park,1345743.095834296,Toronto
11,-79.34126750251852,43.70962983504126,-8832.349239647863,4851.76891168958,E. T. Seton Park,1342972.5920775929,Toronto
12,-79.42767557961452,43.75143843621983,-8841.968273198267,4856.409666420401,Earl Bales Park,1291549.487005829,Toronto
13,-79.37849463065248,43.792388052266304,-8836.493400778865,4860.95507380156,East Don Parkland,1163179.0146603028,Toronto
14,-79.51786083016746,43.73397303152717,-8852.007785475073,4854.471006499516,Oakdale Golf & Country Club,885504.6498032423,Toronto
15,-79.38449450288857,43.69591542353248,-8837.161312556058,4850.246612012105,Mount Pleasant Cemetery,818718.9594400721,Toronto
16,-79.23554292973769,43.70788985044094,-8820.57987448133,4851.575773398945,Bluffer's Park,787136.9244248315,Toronto
17,-79.1623786035481,43.75942184278289,-8812.43514852558,4857.295824548901,East Point Park,755910.8953932563,Toronto
18,-79.39572081186108,43.6634959532778,-8838.411036497188,4846.648050813836,University of Toronto,748873.6667946094,Toronto
19,-79.49828280876956,43.73660581659315,-8849.828340555036,4854.76324564184,Downsview Dells Park,747223.0089554928,Toronto
20,-79.48076955072429,43.74138219548978,-8847.878747156179,4855.293423699365,Downsview Park,733993.7203902621,Toronto
21,-79.50792773351668,43.669869239884285,-8850.90202322281,4847.355485627156,Lambton Golf Club,730785.783182552,Toronto
22,-79.22491654509204,43.837278874344264,-8819.396934716191,4865.9379550522135,Cedar Brae Golf Course,683778.4537022297,Toronto
23,-79.21366616952658,43.75321082069941,-8818.144531657868,4856.606401097634,Scarborough Golf & Country Club,662162.2179022097,Toronto
24,-79.26773457374624,43.71904844933239,-8824.163480484005,4852.814377875895,Pine Hills Cemetery,657954.1655561579,Toronto
25,-79.53994484068777,43.70431747817282,-8854.466199610202,4851.179240077183,Weston Golf and Country Club,641331.2292303165,Toronto
26,-79.39076625977326,43.73636944211412,-8837.85949080422,4854.737008074667,Rosedale Golf Club,602100.6795797372,Toronto
27,-79.18905713681316,43.787758183823875,-8815.405029527177,4860.44115840445,University of Toronto at Scarborough,588703.1798447972,Toronto
28,-79.50326897932055,43.75057488200669,-8850.383406046943,4856.313811902743,Derrydowns Park,587930.4986662599,Toronto
29,-79.53011736636559,43.67365930534084,-8853.372195341184,4847.776182892833,St George's Golf & Country Club,585046.1410978581,Toronto
30,-79.51954844409202,43.73225161555478,-8852.195652344768,4854.279929326581,Knudson 9,581940.4523657006,Toronto
31,-79.42464196431064,43.764323710715246,-8841.630568109023,4857.839931889393,York Cemetery,580255.0419683286,Toronto
32,-79.34087945848874,43.74922927934192,-8832.306042198425,4856.164450006953,Donalda Golf and Country Club,569411.2341762348,Toronto
33,-79.56347851754853,43.66398179898847,-8857.08599205202,4846.70197968772,West Deane Park,540677.6841282555,Toronto
34,-79.32599812278112,43.70155033405113,-8830.649437026117,4850.872087079675,Taylor Creek Park,537681.1790206053,Toronto
