,poi_x,poi_y,poi_x_km,poi_y_km,poi_name,poi_area,place_name
0,-89.26173916998432,48.42026111272234,-9936.706066141825,5374.64898351218,Lakehead University,922329.4014704551,Thunder Bay
1,-89.26870401537491,48.401934456864254,-9937.48139969555,5372.6147247119325,Confederation College,354597.57646291406,Thunder Bay
2,-89.26985886472177,48.42437566556184,-9937.609958679692,5375.105698877364,Thunder Bay Regional Health Sciences Centre,270545.9965543681,Thunder Bay
3,-89.26823897561736,48.394029616387236,-9937.429631004701,5371.737287418983,Chapples Park,244477.31993898022,Thunder Bay
4,-89.26511922305781,48.38661105448886,-9937.082337030019,5370.913827048264,Soroptimist International Friendship Gardens,186961.9608914294,Thunder Bay
5,-89.2158763710036,48.43406550685123,-9931.600573496491,5376.181271260487,Marina Park,126447.18646162144,Thunder Bay
6,-89.34499017081625,48.306049738813456,-9945.973650805436,5361.971521008294,Cowan Park,120771.20734525454,Thunder Bay
7,-89.29166959528906,48.397638600780446,-9940.037951017173,5372.137884686629,Northwood Playfield,89867.79372722632,Thunder Bay
8,-89.25417416689432,48.42786942003727,-9935.863922432842,5375.493505624137,St. Andrew's Catholic Cemetery,80792.91428863704,Thunder Bay
9,-89.25233184469367,48.44339351645051,-9935.658833283143,5377.216680326007,Hammarskjold High School,79963.10238756689,Thunder Bay
10,-89.19248084495752,48.45451356295064,-9928.996160141516,5378.451005487521,Current River park,70275.47281181265,Thunder Bay
11,-89.2923300064931,48.37336792895638,-9940.111468652818,5369.443840114158,Westgate Collegiate and Vocational Institute,69948.49478851708,Thunder Bay
12,-89.24803082286581,48.449660288559315,-9935.180039232246,5377.912292030084,Junot Park,63393.549115011876,Thunder Bay
13,-89.1976083588812,48.4528166007695,-9929.566960119013,5378.262642685415,St. Ignatius High School,55246.51506694649,Thunder Bay
14,-89.19784023674616,48.45598056425349,-9929.59277299482,5378.613842632137,Boulevard,54863.647692079765,Thunder Bay
15,-89.25673116093195,48.43312144932577,-9936.148569566105,5376.07648087516,George Burke Park,52066.31868078395,Thunder Bay
16,-89.35390335038929,48.31430697162729,-9946.965874868685,5362.888073850629,Nor'wester View Public School,51751.03583021119,Thunder Bay
17,-89.24383647362319,48.4035496154065,-9934.713120080207,5372.794007310121,Intercity Shopping Centre,43689.332020369126,Thunder Bay
18,-89.26374502143808,48.3867127610166,-9936.929359531508,5370.925116472842,Fort William Stadium,40948.63782570324,Thunder Bay
19,-89.26880080151672,48.38269466345241,-9937.492174025643,5370.4791076432175,Lakehead Adult Education Centre,39727.3530358404,Thunder Bay
20,-89.18629581507878,48.465248306742,-9928.307636430385,5379.6425620483615,Claude E. Garton Public School,36161.15003687423,Thunder Bay
21,-89.26073579533549,48.42156826683333,-9936.594369472543,5374.7940776185,Agora circle,36100.44136363777,Thunder Bay
22,-89.22813768327342,48.443660712407386,-9932.96551503968,5377.24633907722,École secondaire catholique de La Vérendrye,35570.76427884328,Thunder Bay
23,-89.35818174044215,48.343127283452226,-9947.44214952776,5366.087128463197,Fort William Historical Park,33151.2158190068,Thunder Bay
24,-89.2860817753434,48.45131554597997,-9939.415909313004,5378.096025603777,Woodcrest Public School,31269.875053089912,Thunder Bay
25,-89.22453166927582,48.448879072614396,-9932.564089955453,5377.825577060198,Balsam Pit,30580.01522909209,Thunder Bay
26,-89.26078850530114,48.37518088798671,-9936.600237198627,5369.645078566525,St. Patrick High School,30469.87116582598,Thunder Bay
27,-89.28002114099925,48.37921597931541,-9938.741233437178,5370.092973704011,Westmount Public School,30396.799450972336,Thunder Bay
28,-89.27220254041949,48.37515995865009,-9937.870859002038,5369.64275541016,Alma Adair Park,29970.206134857057,Thunder Bay
29,-89.22680799387327,48.44938263670052,-9932.817492685966,5377.881472673757,Superior Collegiate and Vocational Institute,28993.09514078162,Thunder Bay
30,-89.2463382919453,48.45750031829411,-9934.991624997643,5378.782535330646,Our Lady of Charity Catholic Elementary School,28494.194979313474,Thunder Bay
31,-89.30983843633838,48.47321073941056,-9942.060524571625,5380.526392074572,Five Mile Public School,28027.6301298392,Thunder Bay
32,-89.25123444737851,48.43870166157855,-9935.536669916622,5376.695884435218,Algonquin Avenue Public School,27010.94970324014,Thunder Bay
33,-89.26934728007652,48.43235645230009,-9937.553008565397,5375.99156620531,River Terrace Park,26723.87684696039,Thunder Bay
34,-89.23797882483493,48.44651796091669,-9934.061040759449,5377.563493661753,Volunteer Pool Playfield,26571.870714372075,Thunder Bay
35,-89.23639009931081,48.44811769469004,-9933.884182245378,5377.741064110594,St. Bernard Catholic Elementary School,25700.636667563078,Thunder Bay
36,-89.29585715144086,48.391873916502085,-9940.504113955547,5371.498004731731,St. Francis Catholic Elementary School,25177.42528501631,Thunder Bay
37,-89.27964324181966,48.39609736300241,-9938.699165322605,5371.966807293267,Sherbrooke Public School,24281.145570392524,Thunder Bay
